Symbols
PLTR
AMD
FB
FVRR
SHOP
BIDU
ABNB
TSLA
ETSY
AMZN
GOOGL
MSFT
BABA
JPM
COIN
SQ
PYPL
WFC
BAC
LI
GM
VWAGY
U
TSM
INTC
QCOM
NVDA
SWKS
AMC
BB
GME
